Event name,Start,End,Description,Image,Source,Type
2nd Industrial Revolution,1870,1941,"The Second Industrial Revolution, also known as the Technological Revolution,was a phase of rapid scientific discovery, standardization, mass production, and industrialization from the late 19th century into the early 20th century.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Skglb_promo_1895.jpg/1024px-Skglb_promo_1895.jpg,https://en.wikipedia.org/wiki/Second_Industrial_Revolution,Revolution
Krakatau Eruption,1883,1883,"The renowned volcano Krakatau (frequently misstated as Krakatoa) lies in the Sunda Strait between Java and Sumatra. Its eruption in 1883 caused a casualty over 36,000.",https://volcano.si.edu/gallery/photos/GVP-00568.jpg,https://volcano.si.edu/volcano.cfm?vn=262000,Eruption
Pelée Eruption,1902,1902,"Montagne Pelée forms the northern end of the island of Martinique. Its eruption in 1902 caused a casualty over 30,000.",https://volcano.si.edu/gallery/photos/GVP-10668.jpg,https://volcano.si.edu/volcano.cfm?vn=360120,Eruption
The Chinese Revolution,1911,1945,"Chinese Revolution, nationalist democratic revolt that overthrew the Qing (or Manchu) dynasty in 1912 and created a republic.",https://th.bing.com/th/id/R.ef01cc043297b483ab61824cb180923b?rik=0ZCT7iB0RIH1YQ&riu=http%3a%2f%2f3.bp.blogspot.com%2f-CbkOYG_fL9Y%2fTzSCGrjSYJI%2fAAAAAAAAM68%2frXWWE4qSNRo%2fs1600%2fChina_revolution.jpg&ehk=VoqI%2fw7k9pwSD5%2bTYGcXI0Q79bksi8PBKic4coeupLc%3d&risl=&pid=ImgRaw&r=0,https://unacademy.com/content/ssc/study-material/world-history/chinese-revolution/,Revolution
World War I,1914,1918,"A global conflict which lasted from 1914 to 1918, considered one of the deadliest conflicts in history.",https://upload.wikimedia.org/wikipedia/commons/2/20/WWImontage.jpg,https://en.wikipedia.org/wiki/World_War_I,War
The Russian Revolution,1917,1923,The Russian Revolution was a period of political and social revolution that took place in the former Russian Empire which began during the First World War. ,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/19170704_Riot_on_Nevsky_prosp_Petrograd.jpg/1024px-19170704_Riot_on_Nevsky_prosp_Petrograd.jpg,https://en.wikipedia.org/wiki/Russian_Revolution,Revolution
World War II,1939,1945,A global war involving the vast majority of the world's countries—including all of the great powers—forming two opposing military alliances: the Allies and the Axis powers. World War II was by far the deadliest conflict in human history.,https://upload.wikimedia.org/wikipedia/commons/9/9d/2-8_Field_Regt.jpg,https://en.wikipedia.org/wiki/World_War_II,War
Digital Revolution,1960,2022,"The Digital Revolution (also known as the Third Industrial Revolution) is the shift from mechanical and analogue electronic technology to digital electronics which began in the later half of the 20th century, with the adoption and proliferation of digital computers and digital record-keeping, that continues to the present day.",https://upload.wikimedia.org/wikipedia/commons/f/f2/American_286-A.jpg,https://en.wikipedia.org/wiki/Digital_Revolution,Revolution
Nevado del Ruiz Eruption,1985,1985,"Nevado del Ruiz is a broad, glacier-covered volcano in central Colombia that covers more than 200 km2. Its eruption in 1985 caused a casualty over 25,000.",https://volcano.si.edu/gallery/photos/GVP-04359.jpg,https://volcano.si.edu/volcano.cfm?vn=351020,Eruption
IPCC,1988,2022,"Intergovernmental Panel on Climate Change aims to repare a comprehensive review and recommendations with respect to the state of knowledge of the science of climate change; the social and economic impact of climate change, and potential response strategies and elements for inclusion in a possible future international convention on climate.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Intergovernmental_Panel_on_Climate_Change_Logo.svg/1280px-Intergovernmental_Panel_on_Climate_Change_Logo.svg.png,https://www.ipcc.ch/,Climate Agreements
UNFCCC,1994,2022,"UN Framework Convention on Climate Change, an international environmental treaty to combat ""dangerous human interference with the climate system"", in part by stabilizing greenhouse gas concentrations in the atmosphere. ",https://www.eci.ox.ac.uk/research/climate/img/unfccc.png,https://unfccc.int/,Climate Agreements
Flu Pandemic,1889,1890,"In the modern industrial age, new transport links made it easier for influenza viruses to wreak havoc. In just a few months, the disease spanned the globe, killing 1 million people. It took just five weeks for the epidemic to reach peak mortality.",https://cdn.mos.cms.futurecdn.net/KbD7hcrcGSXjJcwpQFHGVT-1200-80.jpg,https://www.livescience.com/worst-epidemics-and-pandemics-in-history.html,Pandemic
Spanish Flu,1918,1920,"An influenza pandemic in the beginning of 20th century was one of the deadliest diseases. Estimated mortality range from 17 million to 50 million, and may have reached 100 million, making it one of the deadliest pandemics in human history, second only to the Black Death bubonic plague of 1346-1353.","A polio epidemic that started in New York City caused 27,000 cases and 6,000 deaths in the United States. The disease mainly affects children and sometimes leaves survivors with permanent disabilities.",https://en.wikipedia.org/wiki/Spanish_flu,Pandemic
